起,"起 wake up  キ  お.きる to wake up, to get up  お.こる to happen  お.こす to rouse"
運,運 carry; luck  ウン  はこ.ぶ to carry
置,置 put  チ  お.く to put
料,料 fee  リョウ
士,士 samurai  シ
返,"返 return  ヘン  かえ.る to return, to come back  かえ.す to return (something)"
藤,藤 wisteria  トウ  ふじ
論,論 thesis  ロン
楽,"楽 music; happy  ガク  ラク  たの.しい happy, pleasant  たの.しむ to be happy"
際,際 occasion  サイ  きわ  -ぎわ edge
歳,歳 years old  サイ  セイ
色,色 color  ショク  シキ  いろ
帰,"帰 return  キ  かえ.る to return  かえ.す to send back, give back"
歩,歩 walk  ホ  フ  ブ  ある.く  あゆ.む to walk
井,井 well  セイ  ショウ  い a well
悪,悪 bad  アク  オ  わる.い
広,"広 broad  コウ  ひろ.い  ひろ.がる  ひろ.まる to be wide open, spread out  ひろ.げる  ひろ.める to open wide"
店,店 shop  テン  みせ
反,"反 anti  ハン  ホン  タン  そ.らす to bend, to warp  そ.る to be warped, curved"
町,町 town  チョウ  まち
形,形 shape  ケイ  ギョウ  かたち  かた
百,百 hundred; 100  ヒャク
光,"光 light  コウ  ひかり light, sunshine  ひか.る to shine, twinkle"
首,首 neck  シュ  くび neck; head
勝,勝 win  ショウ  か.つ to win  まさ.る to be better than
必,"必 certainly  ヒツ  かなら.ず certainly, invariably"
土,"土 ground; earth  ド  ト  つち ground, earth, soil"
係,"係 in charge  ケイ  かかり charge, duty  かか.る to relate to"
由,由 reason  ユ  ユウ  ユイ  よし
愛,愛 love  アイ
都,"都 capital city  ト  ツ  みやこ capital city, metropolis"
住,"住 live  ジュウ  す.む to live, to dwell  す.まう to live (concept)"
江,"江 stream  コウ  え stream, creek"
西,西 west  セイ  サイ  にし
売,売 sell  バイ  う.る to sell  う.れる to be selling; be in demand
放,放 let go  ホウ  はな.す  はな.つ to let go  はな.れる to get free of  ほう.る to throw (away)
確,確 certain  カク  たし.か  たし.かめる to make certain
過,"過 mistake  カ  あやま.ち  あやま.つ to slip up  す.ぎる to overdo, be more than  す.ごす to pass, spend"
張,張 stretch  チョウ  は.る to stretch
約,約 promise  ヤク
馬,馬 horse  バ  うま  ま
状,状 condition  ジョウ
待,待 wait  タイ  ま.つ to wait
古,古 old  コ  ふる.い  -ふる.す to grow old
想,想 idea  ソウ  ソ
始,"始 begin  シ  はじ.める to begin, to start (something)  はじ.まる to begin, to commence"
官,官 bureaucrat  カン
交,"交 mix; mixed  コウ  ま.ぜる to mix, stir  ま.ざる  ま.じる to be mixed together  まじ.える to mix, intersperse  まじ.わる to intersect  か.う to take turns  か.わす to exchange"
読,読 read  ドク  トク  トウ  よ.む to read
千,千 1000; thousand  セン  ち 1000
米,米 rice  ベイ  マイ  こめ
配,配 distribute  ハイ  くば.る to distribute
若,若 young  ジャク  ニャク  わか.い  も.しくは or
終,終 end  シュウ  お.わる to come to an end  お.える to bring to an end
資,資 asset  シ
常,"常 usual  ジョウ  つね usual, normal  とこ- endless, unchanging"
果,"果 result; fruit; bear fruit  カ  は.たす to carry out  は.て end, extremity  は.てる to come to an end"
